name,ticker
럭스피아,092590.KS
레드우즈,266170.KS
레드캡투어,038390.KQ
레몬,294140.KQ
레뷰코퍼레이션,443250.KQ
레이,228670.KQ
레이언스,228850.KQ
레이저쎌,412350.KQ
레이저옵텍,199550.KQ
레이크머티리얼즈,281740.KQ
레인보우로보틱스,277810.KQ
로보로보,215100.KQ
로보스타,090360.KQ
로보쓰리에이아이,238500.KS
로보티즈,108490.KQ
로스웰,900260.KQ
로젠,033290.KQ
로지스몬,223220.KS
로지시스,067730.KQ
로체시스템즈,071280.KQ
로킷헬스케어,376900.KQ
롤링스톤,214610.KQ
롯데관광개발,032350.KS
롯데렌탈,089860.KS
롯데리츠,330590.KS
롯데손해보험,000400.KS
롯데쇼핑,023530.KS
롯데에너지머티리얼즈,020150.KS
롯데웰푸드,280360.KS
롯데이노베이트,286940.KS
롯데정밀화학,004000.KS
롯데지주,004990.KS
롯데지주우,00499K.KS
롯데칠성,005300.KS
롯데칠성우,005305.KS
롯데케미칼,011170.KS
롯데하이마트,071840.KS
루닛,328130.KQ
루멘스,038060.KQ
루미르,474170.KQ
루켄테크놀러지스,162120.KS
루트락,253610.KS
리가켐바이오,141080.KQ
리노공업,058470.KQ
리더스코스메틱,016100.KQ
리드코프,012700.KQ
리메드,302550.KQ
리브스메드,491000.KQ
리센스메디컬,394420.KQ
리튬포어스,073570.KQ
리파인,377450.KQ
린드먼아시아,277070.KQ
링네트,042500.KQ
링크드,193250.KQ
링크솔루션,474650.KQ
링크제니시스,219420.KQ
마녀공장,439090.KQ
마니커,027740.KS
마니커에프앤지,195500.KQ
마스턴프리미어리츠,357430.KS
마음AI,377480.KQ
마이크로디지탈,305090.KQ
마이크로엔엑스,448780.KS
마이크로컨텍솔,098120.KQ
마이크로투나노,424980.KQ
마크로젠,038290.KQ
만호제강,001080.KS
매일유업,267980.KQ
매일홀딩스,005990.KQ
매커스,093520.KQ
맥쿼리인프라,088980.KS
맵스리얼티,094800.KS
머니무브,179720.KS
머큐리,100590.KQ
멀티캠퍼스,067280.KQ
메가스터디,072870.KQ
메가스터디교육,215200.KQ
메가엠디,133750.KQ
메가터치,446540.KQ
메드팩토,235980.KQ
메디쎄이,200580.KS
메디아나,041920.KQ
메디안디노스틱,233250.KS
메디앙스,014100.KQ
메디젠휴먼케어,236340.KS
메디콕스,054180.KQ
메디톡스,086900.KQ
메디포스트,078160.KQ
메리츠금융지주,138040.KS
메리츠제1호스팩,0088D0.KQ
메쎄이상,408920.KQ
메이슨캐피탈,021880.KQ
메쥬,0088M0.KQ
메지온,140410.KQ
메카로,241770.KQ
메타랩스,090370.KS
메타바이오메드,059210.KQ
메타케어,118000.KS
멕아이씨에스,058110.KQ
멤레이비티,072770.KQ
명문제약,017180.KS
명신산업,009900.KS
명인제약,317450.KS
모나리자,012690.KS
모나미,005360.KS
모나용평,070960.KS
모니터랩,434480.KQ
모다이노칩,080420.KQ
모델솔루션,417970.KQ
모두투어,080160.KQ
모바일어플라이언스,087260.KQ
모베이스,101330.KQ
모베이스전자,012860.KQ
모비데이즈,363260.KQ
모비릭스,348030.KQ
모비스,250060.KQ
모아데이타,288980.KQ
모아라이프플러스,142760.KQ
모아텍,033200.KQ
모코엠시스,333050.KQ
모토닉,009680.KS
모트렉스,118990.KQ
모티브링크,463480.KQ
모헨즈,006920.KQ
무림P&P,009580.KS
무림SP,001810.KQ
무림페이퍼,009200.KS
무진메디,322970.KS
무학,033920.KS
문배철강,008420.KS
미디어젠,279600.KQ
미래나노텍,095500.KQ
미래반도체,254490.KQ
미래산업,025560.KS
미래생명자원,218150.KQ
미래아이앤지,007120.KS
미래에셋글로벌리츠,396690.KS
미래에셋맵스리츠,357250.KS
미래에셋벤처투자,100790.KQ
미래에셋비전스팩10호,0097F0.KQ
미래에셋비전스팩11호,0099W0.KQ
미래에셋비전스팩4호,477380.KQ
미래에셋비전스팩5호,477470.KQ
미래에셋비전스팩6호,478440.KQ
미래에셋비전스팩7호,482680.KQ
미래에셋비전스팩8호,0093G0.KQ
미래에셋비전스팩9호,0096D0.KQ
미래에셋생명,085620.KS
미래에셋증권,006800.KS
미래에셋증권2우B,00680K.KS
미래에셋증권우,006805.KS
미래엔에듀파트너,208890.KS
미래컴퍼니,049950.KQ
미스터블루,207760.KQ
미스토홀딩스,081660.KS
미원상사,002840.KS
미원에스씨,268280.KS
미원홀딩스,107590.KS
미원화학,134380.KS
미쥬,351020.KS
미창석유,003650.KS
미코,059090.KQ
미투온,201490.KQ
미트박스,475460.KQ
민테크,452200.KQ
바디텍메드,206640.KQ
바른손,018700.KQ
바른손이앤에이,035620.KQ
바스칸바이오제약,354390.KS
바이넥스,053030.KQ
바이브컴퍼니,301300.KQ
바이오노트,377740.KS
바이오니아,064550.KQ
바이오다인,314930.KQ
바이오비쥬,489460.KQ
바이오솔루션,086820.KQ
바이오스마트,038460.KQ
바이오에프디엔씨,251120.KQ
바이오인프라,199730.KQ
바이오인프라생명과학,266470.KS
바이오텐,289170.KS
바이오톡스텍,086040.KQ
바이오포트,188040.KQ
바이오프로테크,199290.KS
바이오플러스,099430.KQ
바이온,032980.KQ
바이젠셀,308080.KQ
바텍,043150.KQ
박셀바이오,323990.KQ
방림,003610.KS
배럴,267790.KQ
백금T&A,046310.KQ
백산,035150.KS
밸로프,331520.KQ
뱅크웨어글로벌,199480.KQ
버넥트,438700.KQ
버킷스튜디오,066410.KQ
범양건영,002410.KS
범한퓨얼셀,382900.KQ
베노티앤알,206400.KQ
베뉴지,019010.KQ
베셀,177350.KQ
벡트,457600.KQ
벨로크,424760.KQ
벽산,007210.KS
보라티알,250000.KQ
보락,002760.KS
보령,003850.KS
보로노이,310210.KQ
보성파워텍,006910.KQ
보해양조,000890.KS
본느,226340.KQ
본시스템즈,496320.KS
볼빅,206950.KS
부광약품,003000.KS
부국증권,001270.KS
부국증권우,001275.KS
부국철강,026940.KS
부방,014470.KQ
부산산업,011390.KS
부산주공,005030.KS
부스타,008470.KQ
뷰노,338220.KQ
뷰웍스,100120.KQ
뷰티스킨,406820.KQ
브레인즈컴퍼니,099390.KQ
브리지텍,064480.KQ
브이씨,365900.KQ
브이엠,089970.KQ
브이원텍,251630.KQ
브이티,018290.KQ
블랙야크아이앤씨,478560.KQ
블루산업개발,006740.KS
블루엠텍,439580.KQ
블루콤,033560.KQ
블루탑,191600.KS
블리츠웨이엔터테인먼트,369370.KQ
비나텍,126340.KQ
비덴트,121800.KQ
비보존제약,082800.KQ
비비씨,318410.KQ
비비안,002070.KS
비상교육,100220.KS
비스토스,419540.KQ
비씨엔씨,146320.KQ
비씨월드제약,200780.KQ
비아이매트릭스,413640.KQ
비아트론,141000.KQ
비에이치,090460.KS
비에이치아이,083650.KQ
비엔케이제2호스팩,473370.KQ
비엔케이제3호스팩,0068Y0.KQ
비엘팜텍,065170.KQ
비엠티,086670.KQ
비유테크놀러지,230980.KQ
비츠로넥스텍,488900.KQ
비츠로셀,082920.KQ
비츠로시스,054220.KQ
비츠로테크,042370.KQ
비케이홀딩스,050090.KQ
비큐AI,148780.KQ
비투엔,307870.KQ
비트맥스,377030.KQ
비트컴퓨터,032850.KQ
비트플래닛,049470.KQ
비피도,238200.KQ
빅솔론,093190.KQ
빅텍,065450.KQ
빌리언스,044480.KQ
빙그레,005180.KS
빛과전자,069540.KQ
빛샘전자,072950.KQ
삐아,451250.KQ
사람인,143240.KQ
사이냅소프트,466410.KQ
사조대림,003960.KS
사조동아원,008040.KS
사조산업,007160.KS
사조씨푸드,014710.KS
사조오양,006090.KS
사토시홀딩스,223310.KQ
사피엔반도체,452430.KQ
산돌,419120.KQ
산일전기,062040.KS
삼기,122350.KQ
삼기에너지솔루션즈,419050.KQ
삼륭물산,014970.KQ
